bucket,path,size_bytes,public_url,category,coin_type
numista-uploads-studio-9101802118-8c9a8,ai_generated/1865_barber_silver_coin_35.png,2144953,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1865_barber_silver_coin_35.png,Image (unclassified),image_other
numista-uploads-studio-9101802118-8c9a8,ai_generated/1866_barber_silver_coin_36.png,2044069,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1866_barber_silver_coin_36.png,Image (unclassified),image_other
numista-uploads-studio-9101802118-8c9a8,ai_generated/1867_barber_silver_coin_14.png,1812737,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1867_barber_silver_coin_14.png,Image (unclassified),image_other
numista-uploads-studio-9101802118-8c9a8,ai_generated/1868_barber_silver_coin_32.png,1899634,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1868_barber_silver_coin_32.png,Image (unclassified),image_other
numista-uploads-studio-9101802118-8c9a8,ai_generated/1869_barber_silver_coin_33.png,2028600,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1869_barber_silver_coin_33.png,Image (unclassified),image_other
numista-uploads-studio-9101802118-8c9a8,ai_generated/1870_barber_silver_coin_27.png,2158111,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1870_barber_silver_coin_27.png,Image (unclassified),image_other
numista-uploads-studio-9101802118-8c9a8,ai_generated/1870_barber_silver_coin_34.png,2135600,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1870_barber_silver_coin_34.png,Image (unclassified),image_other
numista-uploads-studio-9101802118-8c9a8,ai_generated/1871_barber_silver_coin_21.png,2166186,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1871_barber_silver_coin_21.png,Image (unclassified),image_other
numista-uploads-studio-9101802118-8c9a8,ai_generated/1872_barber_silver_coin_3.png,2128280,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1872_barber_silver_coin_3.png,Image (unclassified),image_other
numista-uploads-studio-9101802118-8c9a8,ai_generated/1874_barber_silver_coin_9.png,2172164,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1874_barber_silver_coin_9.png,Image (unclassified),image_other
numista-uploads-studio-9101802118-8c9a8,ai_generated/1877_barber_silver_coin_26.png,2031307,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1877_barber_silver_coin_26.png,Image (unclassified),image_other
numista-uploads-studio-9101802118-8c9a8,ai_generated/1878_barber_silver_coin_20.png,1944944,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1878_barber_silver_coin_20.png,Image (unclassified),image_other
numista-uploads-studio-9101802118-8c9a8,ai_generated/1879_barber_silver_coin_22.png,2059680,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1879_barber_silver_coin_22.png,Image (unclassified),image_other
numista-uploads-studio-9101802118-8c9a8,ai_generated/1884_barber_silver_coin_29.png,2086933,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1884_barber_silver_coin_29.png,Image (unclassified),image_other
numista-uploads-studio-9101802118-8c9a8,ai_generated/1885_barber_silver_coin_10.png,2166037,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1885_barber_silver_coin_10.png,Image (unclassified),image_other
numista-uploads-studio-9101802118-8c9a8,ai_generated/1886_barber_silver_coin_18.png,2035730,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1886_barber_silver_coin_18.png,Image (unclassified),image_other
numista-uploads-studio-9101802118-8c9a8,ai_generated/1887_barber_silver_coin_23.png,2110637,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1887_barber_silver_coin_23.png,Image (unclassified),image_other
numista-uploads-studio-9101802118-8c9a8,ai_generated/1889_barber_silver_coin_24.png,2162558,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1889_barber_silver_coin_24.png,Image (unclassified),image_other
numista-uploads-studio-9101802118-8c9a8,ai_generated/1893_barber_silver_coin_48.png,2089652,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1893_barber_silver_coin_48.png,Image (unclassified),image_other
numista-uploads-studio-9101802118-8c9a8,ai_generated/1894_barber_silver_coin_6.png,2014975,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1894_barber_silver_coin_6.png,Image (unclassified),image_other
numista-uploads-studio-9101802118-8c9a8,ai_generated/1905_barber_silver_coin_40.png,1939466,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1905_barber_silver_coin_40.png,Image (unclassified),image_other
numista-uploads-studio-9101802118-8c9a8,ai_generated/1909_barber_silver_coin_25.png,2040668,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1909_barber_silver_coin_25.png,Image (unclassified),image_other
numista-uploads-studio-9101802118-8c9a8,ai_generated/1934_time_capsule_year_set_0f60961c.png,2230917,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1934_time_capsule_year_set_0f60961c.png,Image (unclassified),image_other
numista-uploads-studio-9101802118-8c9a8,ai_generated/1935_time_capsule_year_set_be4cd764.png,2124341,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1935_time_capsule_year_set_be4cd764.png,Image (unclassified),image_other
numista-uploads-studio-9101802118-8c9a8,ai_generated/1937_time_capsule_year_set_f4db515b.png,2224993,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1937_time_capsule_year_set_f4db515b.png,Image (unclassified),image_other
numista-uploads-studio-9101802118-8c9a8,ai_generated/1938_time_capsule_year_set_42fa434c.png,2240309,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1938_time_capsule_year_set_42fa434c.png,Image (unclassified),image_other
numista-uploads-studio-9101802118-8c9a8,ai_generated/1942_time_capsule_year_set_708a25f4.png,2082852,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1942_time_capsule_year_set_708a25f4.png,Image (unclassified),image_other
numista-uploads-studio-9101802118-8c9a8,ai_generated/1948_time_capsule_year_set_78e6773b.png,2246494,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1948_time_capsule_year_set_78e6773b.png,Image (unclassified),image_other
numista-uploads-studio-9101802118-8c9a8,ai_generated/1950_time_capsule_year_set_e693a6cc.png,2134428,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1950_time_capsule_year_set_e693a6cc.png,Image (unclassified),image_other
numista-uploads-studio-9101802118-8c9a8,ai_generated/1951_time_capsule_year_set_4b438eca.png,2243731,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1951_time_capsule_year_set_4b438eca.png,Image (unclassified),image_other
numista-uploads-studio-9101802118-8c9a8,ai_generated/1953_time_capsule_year_set_94d79283.png,2191734,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1953_time_capsule_year_set_94d79283.png,Image (unclassified),image_other
numista-uploads-studio-9101802118-8c9a8,ai_generated/1955_time_capsule_year_set_f53a7f5a.png,2009058,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1955_time_capsule_year_set_f53a7f5a.png,Image (unclassified),image_other
numista-uploads-studio-9101802118-8c9a8,ai_generated/1956_time_capsule_year_set_498fb5a4.png,2101565,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1956_time_capsule_year_set_498fb5a4.png,Image (unclassified),image_other
numista-uploads-studio-9101802118-8c9a8,ai_generated/1958_time_capsule_year_set_0f8cfb3d.png,2165613,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1958_time_capsule_year_set_0f8cfb3d.png,Image (unclassified),image_other
numista-uploads-studio-9101802118-8c9a8,ai_generated/1960_time_capsule_year_set_8dce0b7a.png,2087973,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1960_time_capsule_year_set_8dce0b7a.png,Image (unclassified),image_other
numista-uploads-studio-9101802118-8c9a8,ai_generated/1961_time_capsule_year_set_882bd16b.png,2064598,https://storage.googleapis.com/numista-uploads-studio-9101802118-8c9a8/ai_generated/1961_time_capsule_year_set_882bd16b.png,Image (unclassified),image_other
